[季調系列],,,,,,需    要    者    別    受    注    額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：１００万円、％）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,受注額,,外需,官公需,民需,,,製造業,非製造業,,,代理店,内需,官          公          需          内          訳,,,,,製          造          業          内          訳          ,,,,,,,,,,,,,,,,,非          製          造          業          内           訳,,,,,,,,,,,,販売額,,受注残高,
,,,,合計,（船舶を除く）,,,,（船舶を除く）,（船舶・電力,,,（船舶を除く）,（船舶・電力,,,運輸業,防衛省,国家公務,地方公務,その他,食品製造業,繊維工業,パルプ・紙・紙加工品製造業,化学工業,石油製品・石炭製品製造業,窯業・土石製品,鉄鋼業,非鉄金属製造業,金属製品製造業,はん用・生産用機械器具製造業,業務用機械器具製造業,電気機械器具製造業,情報通信機械器具製造業,自動車・同付属品製造業,造船業,その他輸送用機械器具製造業,その他製造業(現行分類),農林漁業,鉱業・採石業・砂利採取業,建設業,電力業,運輸業・郵便業,通信業,卸売業・小売業,金融業・保険業,不動産業,情報サービス業,リース業,その他非製造業,総計,（船舶を除く）,総計,（船舶を除く）
,,,,,,,,,,を除く）,,,,を除く）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          4- 6月,,7.1 ,9.4 ,10.7 ,12.2 ,-2.2 ,-1.1 ,-3.2 ,1.1 ,-5.1 ,-3.2 ,-8.8 ,0.6 ,0.7 ,73.4 ,121.7 ,8.5 ,15.9 ,-13.0 ,10.0 ,110.1 ,-12.9 ,21.7 ,61.8 ,-7.9 ,-1.1 ,-37.6 ,-8.8 ,2.0 ,-25.9 ,5.7 ,-2.4 ,11.3 ,-24.1 ,54.5 ,-9.5 ,-14.1 ,-11.9 ,-38.6 ,30.6 ,-19.7 ,-30.5 ,-13.3 ,22.5 ,13.6 ,-0.4 ,27.5 ,-3.8 ,-0.1 ,0.8 ,0.9 ,0.9 
,,2022年 8月,,-6.2 ,-5.9 ,-14.7 ,16.2 ,-4.6 ,-2.0 ,-4.6 ,6.3 ,-13.1 ,-11.2 ,-16.6 ,1.9 ,0.4 ,391.2 ,20.7 ,24.4 ,40.6 ,-22.1 ,5.3 ,-15.1 ,-15.0 ,64.2 ,-4.2 ,-7.7 ,-1.3 ,395.4 ,-10.2 ,-6.2 ,7.8 ,-7.5 ,-7.9 ,14.0 ,15.0 ,9.4 ,16.9 ,-3.8 ,8.0 ,1.0 ,21.1 ,-57.7 ,-8.6 ,16.2 ,0.2 ,-47.9 ,-2.3 ,6.9 ,-0.2 ,-0.8 ,-0.2 ,0.4 ,0.5 
,,          9月,,-1.8 ,1.5 ,9.0 ,-3.8 ,-6.3 ,-4.2 ,-3.2 ,-6.3 ,-2.4 ,1.1 ,3.5 ,2.9 ,-5.6 ,-71.9 ,30.2 ,-8.6 ,-14.7 ,18.9 ,-0.8 ,11.9 ,224.9 ,9.7 ,6.6 ,9.2 ,-25.4 ,-79.9 ,1.9 ,-1.5 ,1.0 ,10.1 ,17.8 ,-1.3 ,-27.1 ,-21.8 ,-10.7 ,-7.1 ,-9.0 ,-5.5 ,-24.7 ,-16.3 ,6.8 ,2.4 ,3.2 ,43.2 ,15.3 ,7.6 ,6.3 ,-2.7 ,-4.6 ,0.8 ,0.8 
,,          10月,,0.8 ,-2.7 ,-2.1 ,0.3 ,-1.1 ,-4.0 ,3.5 ,-4.1 ,0.1 ,-2.9 ,9.0 ,-1.4 ,-2.2 ,12.3 ,1.3 ,28.9 ,2.9 ,-14.1 ,21.6 ,-13.8 ,-59.2 ,-48.2 ,-9.2 ,-22.3 ,23.2 ,57.2 ,17.6 ,-7.7 ,6.0 ,-1.6 ,-7.6 ,-13.7 ,-1.1 ,8.7 ,-29.2 ,16.9 ,13.3 ,17.2 ,-5.3 ,4.1 ,-25.5 ,-11.0 ,-7.3 ,-26.2 ,26.2 ,-4.0 ,3.2 ,4.9 ,7.9 ,1.5 ,1.8 
,,          11月,,0.2 ,-1.0 ,1.2 ,-5.0 ,-1.1 ,-0.4 ,-6.7 ,-8.0 ,5.2 ,4.3 ,-2.1 ,0.4 ,-0.8 ,13.7 ,0.3 ,-1.8 ,-12.4 ,-3.9 ,2.3 ,-8.0 ,-7.1 ,35.0 ,-5.9 ,10.0 ,17.3 ,-57.8 ,-10.5 ,1.8 ,-9.9 ,-26.8 ,-10.3 ,2.1 ,-1.7 ,2.8 ,29.2 ,-0.4 ,7.9 ,1.9 ,2.1 ,22.7 ,19.5 ,19.0 ,20.5 ,12.0 ,-27.9 ,-5.0 ,-14.1 ,-1.1 ,-0.8 ,0.2 ,0.3 
,,          12月,,4.7 ,3.1 ,10.5 ,-8.5 ,-2.8 ,0.7 ,0.3 ,2.5 ,-4.6 ,-0.3 ,-3.2 ,0.1 ,-1.6 ,-49.8 ,-35.4 ,-1.0 ,17.2 ,34.4 ,-11.9 ,-31.3 ,6.9 ,-8.6 ,9.0 ,-12.5 ,-4.5 ,113.4 ,-12.7 ,-6.5 ,-3.1 ,9.6 ,-13.8 ,4.0 ,-4.8 ,-14.7 ,4.1 ,19.0 ,292.2 ,-2.6 ,-1.8 ,-25.3 ,-2.5 ,-1.7 ,-13.8 ,-2.4 ,-5.9 ,15.6 ,1.0 ,1.3 ,1.2 ,-0.2 ,-0.7 
,,2023年 1月,,-10.2 ,-11.3 ,-25.2 ,5.4 ,12.0 ,6.8 ,9.5 ,-2.6 ,19.3 ,12.7 ,19.5 ,2.8 ,8.2 ,-4.2 ,27.1 ,8.9 ,-26.7 ,4.8 ,10.0 ,35.4 ,48.3 ,1.4 ,29.5 ,85.4 ,-12.3 ,-47.6 ,-0.7 ,8.6 ,-2.8 ,-9.1 ,-15.9 ,-12.9 ,5.5 ,-0.9 ,16.0 ,6.6 ,-72.3 ,99.0 ,14.3 ,83.5 ,9.8 ,-17.5 ,14.6 ,-28.2 ,11.1 ,-22.1 ,10.1 ,-7.5 ,-7.6 ,-0.8 ,-1.0 
,,          2月,,-0.8 ,6.3 ,2.3 ,45.8 ,3.1 ,3.4 ,-4.5 ,10.2 ,-3.9 ,-0.2 ,-14.7 ,-6.8 ,10.0 ,100.9 ,36.2 ,5.9 ,-10.2 ,126.3 ,-17.2 ,-1.0 ,-41.7 ,10.6 ,27.2 ,-29.4 ,-21.8 ,330.8 ,13.2 ,8.7 ,0.7 ,-4.1 ,11.6 ,19.4 ,-28.3 ,-0.6 ,-1.3 ,-16.5 ,-10.0 ,-54.7 ,37.0 ,-20.3 ,37.9 ,7.8 ,-29.1 ,155.5 ,-1.2 ,17.9 ,4.1 ,6.1 ,5.6 ,-0.1 ,-0.2 
,,          3月,,-2.8 ,-2.3 ,-10.5 ,-15.5 ,-12.3 ,-9.2 ,-3.9 ,-2.4 ,-12.6 ,-12.4 ,-4.5 ,5.4 ,-7.8 ,-32.3 ,24.1 ,3.5 ,-3.5 ,-59.8 ,-8.1 ,-16.5 ,2.5 ,-13.5 ,-39.2 ,-21.4 ,49.8 ,-72.2 ,15.7 ,-7.2 ,13.8 ,19.1 ,-1.0 ,-6.0 ,351.0 ,-9.7 ,-19.5 ,-1.5 ,-24.3 ,19.7 ,-27.1 ,-22.7 ,-26.8 ,-1.1 ,19.1 ,-50.9 ,12.1 ,16.1 ,-21.8 ,-8.3 ,-8.4 ,0.2 ,-0.4 
,,          4月,,11.5 ,4.7 ,12.3 ,6.8 ,8.5 ,3.0 ,5.5 ,-3.0 ,6.7 ,7.2 ,11.0 ,8.6 ,1.8 ,-7.2 ,-41.7 ,15.0 ,31.7 ,83.9 ,22.1 ,335.5 ,-5.0 ,45.2 ,31.2 ,59.0 ,-19.9 ,32.9 ,-29.0 ,4.7 ,-30.9 ,-8.6 ,-15.9 ,4.8 ,-89.8 ,92.0 ,15.9 ,-3.4 ,36.5 ,-20.7 ,-6.8 ,7.6 ,-26.2 ,-2.0 ,55.2 ,23.4 ,-3.1 ,22.6 ,26.8 ,-2.4 ,-2.5 ,0.0 ,0.2 
